"Nível Territorial (Código)","Nível Territorial","Unidade de Medida (Código)","Unidade de Medida","Valor","Unidade da Federação (Código)","Unidade da Federação","Ano (Código)","Ano","Variável (Código)","Variável"
"3","Unidade da Federação","40","Mil Reais",284337,"12","Acre","2002","2002","513","Valor adicionado bruto a preços correntes da agropecuária"
"3","Unidade da Federação","40","Mil Reais",355041,"12","Acre","2002","2002","517","Valor adicionado bruto a preços correntes da indústria"
"3","Unidade da Federação","40","Mil Reais",1071069,"12","Acre","2002","2002","6575","Valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social"
"3","Unidade da Federação","2","%",10.37,"12","Acre","2002","2002","516","Participação do valor adicionado bruto a preços correntes da agropecuária no valor adicionado bruto a preços correntes total"
"3","Unidade da Federação","2","%",2.09,"12","Acre","2002","2002","548","Participação do valor adicionado bruto a preços correntes da indústria no valor adicionado bruto a preços correntes da indústria da grande região"
"3","Unidade da Federação","2","%",4.46,"12","Acre","2002","2002","546","Participação do valor adicionado bruto a preços correntes total no valor adicionado bruto a preços correntes total da grande região"
"3","Unidade da Federação","2","%",4.44,"12","Acre","2002","2002","547","Participação do valor adicionado bruto a preços correntes da agropecuária no valor adicionado bruto a preços correntes da agropecuária da grande região"
"3","Unidade da Federação","40","Mil Reais",381300,"12","Acre","2003","2003","513","Valor adicionado bruto a preços correntes da agropecuária"
"3","Unidade da Federação","40","Mil Reais",295101,"12","Acre","2003","2003","517","Valor adicionado bruto a preços correntes da indústria"
"3","Unidade da Federação","40","Mil Reais",1243564,"12","Acre","2003","2003","6575","Valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social"
"3","Unidade da Federação","2","%",12.29,"12","Acre","2003","2003","516","Participação do valor adicionado bruto a preços correntes da agropecuária no valor adicionado bruto a preços correntes total"
"3","Unidade da Federação","2","%",1.52,"12","Acre","2003","2003","548","Participação do valor adicionado bruto a preços correntes da indústria no valor adicionado bruto a preços correntes da indústria da grande região"
"3","Unidade da Federação","2","%",4.33,"12","Acre","2003","2003","546","Participação do valor adicionado bruto a preços correntes total no valor adicionado bruto a preços correntes total da grande região"
"3","Unidade da Federação","2","%",4.69,"12","Acre","2003","2003","547","Participação do valor adicionado bruto a preços correntes da agropecuária no valor adicionado bruto a preços correntes da agropecuária da grande região"
"3","Unidade da Federação","40","Mil Reais",344650,"12","Acre","2004","2004","513","Valor adicionado bruto a preços correntes da agropecuária"
"3","Unidade da Federação","40","Mil Reais",419814,"12","Acre","2004","2004","517","Valor adicionado bruto a preços correntes da indústria"
"3","Unidade da Federação","40","Mil Reais",1391430,"12","Acre","2004","2004","6575","Valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social"
"3","Unidade da Federação","2","%",9.97,"12","Acre","2004","2004","516","Participação do valor adicionado bruto a preços correntes da agropecuária no valor adicionado bruto a preços correntes total"
"3","Unidade da Federação","2","%",1.68,"12","Acre","2004","2004","548","Participação do valor adicionado bruto a preços correntes da indústria no valor adicionado bruto a preços correntes da indústria da grande região"
"3","Unidade da Federação","2","%",4.07,"12","Acre","2004","2004","546","Participação do valor adicionado bruto a preços correntes total no valor adicionado bruto a preços correntes total da grande região"
"3","Unidade da Federação","2","%",4.21,"12","Acre","2004","2004","547","Participação do valor adicionado bruto a preços correntes da agropecuária no valor adicionado bruto a preços correntes da agropecuária da grande região"
"3","Unidade da Federação","40","Mil Reais",411354,"12","Acre","2005","2005","513","Valor adicionado bruto a preços correntes da agropecuária"
"3","Unidade da Federação","40","Mil Reais",415902,"12","Acre","2005","2005","517","Valor adicionado bruto a preços correntes da indústria"
"3","Unidade da Federação","40","Mil Reais",1597982,"12","Acre","2005","2005","6575","Valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social"
"3","Unidade da Federação","2","%",10.52,"12","Acre","2005","2005","516","Participação do valor adicionado bruto a preços correntes da agropecuária no valor adicionado bruto a preços correntes total"
"3","Unidade da Federação","2","%",1.56,"12","Acre","2005","2005","548","Participação do valor adicionado bruto a preços correntes da indústria no valor adicionado bruto a preços correntes da indústria da grande região"
"3","Unidade da Federação","2","%",4.19,"12","Acre","2005","2005","546","Participação do valor adicionado bruto a preços correntes total no valor adicionado bruto a preços correntes total da grande região"
"3","Unidade da Federação","2","%",4.82,"12","Acre","2005","2005","547","Participação do valor adicionado bruto a preços correntes da agropecuária no valor adicionado bruto a preços correntes da agropecuária da grande região"
"3","Unidade da Federação","40","Mil Reais",359337,"12","Acre","2006","2006","513","Valor adicionado bruto a preços correntes da agropecuária"
"3","Unidade da Federação","40","Mil Reais",437073,"12","Acre","2006","2006","517","Valor adicionado bruto a preços correntes da indústria"
"3","Unidade da Federação","40","Mil Reais",1668466,"12","Acre","2006","2006","6575","Valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social"
"3","Unidade da Federação","2","%",8.56,"12","Acre","2006","2006","516","Participação do valor adicionado bruto a preços correntes da agropecuária no valor adicionado bruto a preços correntes total"
"3","Unidade da Federação","2","%",1.41,"12","Acre","2006","2006","548","Participação do valor adicionado bruto a preços correntes da indústria no valor adicionado bruto a preços correntes da indústria da grande região"
"3","Unidade da Federação","2","%",3.95,"12","Acre","2006","2006","546","Participação do valor adicionado bruto a preços correntes total no valor adicionado bruto a preços correntes total da grande região"
"3","Unidade da Federação","2","%",4.03,"12","Acre","2006","2006","547","Participação do valor adicionado bruto a preços correntes da agropecuária no valor adicionado bruto a preços correntes da agropecuária da grande região"
"3","Unidade da Federação","40","Mil Reais",380407,"12","Acre","2007","2007","513","Valor adicionado bruto a preços correntes da agropecuária"
"3","Unidade da Federação","40","Mil Reais",598474,"12","Acre","2007","2007","517","Valor adicionado bruto a preços correntes da indústria"
"3","Unidade da Federação","40","Mil Reais",2003688,"12","Acre","2007","2007","6575","Valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social"
"3","Unidade da Federação","2","%",7.68,"12","Acre","2007","2007","516","Participação do valor adicionado bruto a preços correntes da agropecuária no valor adicionado bruto a preços correntes total"
"3","Unidade da Federação","2","%",1.84,"12","Acre","2007","2007","548","Participação do valor adicionado bruto a preços correntes da indústria no valor adicionado bruto a preços correntes da indústria da grande região"
"3","Unidade da Federação","2","%",4.17,"12","Acre","2007","2007","546","Participação do valor adicionado bruto a preços correntes total no valor adicionado bruto a preços correntes total da grande região"
"3","Unidade da Federação","2","%",4.08,"12","Acre","2007","2007","547","Participação do valor adicionado bruto a preços correntes da agropecuária no valor adicionado bruto a preços correntes da agropecuária da grande região"
"3","Unidade da Federação","40","Mil Reais",500641,"12","Acre","2008","2008","513","Valor adicionado bruto a preços correntes da agropecuária"
